Date,Open,High,Low,Close,Adj Close,Volume
1/6/2022,172.699997,175.300003,171.639999,172,171.007523,96904000
1/7/2022,172.889999,174.139999,171.029999,172.169998,171.176529,86709100
1/10/2022,169.080002,172.5,168.169998,172.190002,171.196426,106765600
1/11/2022,172.320007,175.179993,170.820007,175.080002,174.069733,76138300
1/12/2022,176.119995,177.179993,174.820007,175.529999,174.517136,74805200
1/13/2022,175.779999,176.619995,171.789993,172.190002,171.196426,84505800
1/14/2022,171.339996,173.779999,171.089996,173.070007,172.07135,80440800
1/18/2022,171.509995,172.539993,169.410004,169.800003,168.820206,90956700
1/19/2022,170,171.080002,165.940002,166.229996,165.270798,94815000
1/20/2022,166.979996,169.679993,164.179993,164.509995,163.560715,91420500
1/21/2022,164.419998,166.330002,162.300003,162.410004,161.472855,122848900
1/24/2022,160.020004,162.300003,154.699997,161.619995,160.687393,162294600
1/25/2022,158.979996,162.759995,157.020004,159.779999,158.858017,115798400
1/26/2022,163.5,164.389999,157.820007,159.690002,158.768539,108275300
1/27/2022,162.449997,163.839996,158.279999,159.220001,158.301254,121954600
1/28/2022,165.710007,170.350006,162.800003,170.330002,169.347153,179935700
1/31/2022,170.160004,175,169.509995,174.779999,173.771469,115541600
2/1/2022,174.009995,174.839996,172.309998,174.610001,173.602448,86213900
2/2/2022,174.75,175.880005,173.330002,175.839996,174.825348,84914300
2/3/2022,174.479996,176.240005,172.119995,172.899994,171.902313,89418100
2/4/2022,171.679993,174.100006,170.679993,172.389999,171.613632,82465400
2/7/2022,172.860001,173.949997,170.949997,171.660004,170.886917,77251200
2/8/2022,171.729996,175.350006,171.429993,174.830002,174.042633,74829200
2/9/2022,176.050003,176.649994,174.899994,176.279999,175.486099,71285000
2/10/2022,174.139999,175.479996,171.550003,172.119995,171.344833,90865900
2/11/2022,172.330002,173.080002,168.039993,168.639999,167.880524,98670700
2/14/2022,167.369995,169.580002,166.559998,168.880005,168.119446,86185500
2/15/2022,170.970001,172.949997,170.25,172.789993,172.01181,62527400
2/16/2022,171.850006,173.339996,170.050003,172.550003,171.772903,61177400
2/17/2022,171.029999,171.910004,168.470001,168.880005,168.119446,69589300
2/18/2022,169.820007,170.539993,166.190002,167.300003,166.546539,82772700
2/22/2022,164.979996,166.690002,162.149994,164.320007,163.579971,91162800
2/23/2022,165.539993,166.149994,159.75,160.070007,159.349121,90009200
2/24/2022,152.580002,162.850006,152,162.740005,162.00708,141147500
2/25/2022,163.839996,165.119995,160.869995,164.850006,164.10759,91974200
2/28/2022,163.059998,165.419998,162.429993,165.119995,164.376373,95056600
3/1/2022,164.699997,166.600006,161.970001,163.199997,162.465012,83474400
3/2/2022,164.389999,167.360001,162.949997,166.559998,165.809875,79724800
3/3/2022,168.470001,168.910004,165.550003,166.229996,165.481369,76678400
